model_used,a2c_sr,ppo_sr,td3_sr
 ,0.37969840882567735,0.5262900902676941,0.42725686162107646
PPO,0.2505770877126588,0.32071873737831186,0.2521701664287711
PPO,-0.36382443168990547,-0.19378865538511234,-0.20685794336323227
PPO,-0.2977455579367511,-0.2951028668964775,-0.10941188605450926
TD3,0.5071240441469705,0.3893565328112151,0.50232882905331
A2C,0.5761378656788384,0.7803720644650448,0.8068923050269946
TD3,-0.37263047487721757,-0.03387589016970601,0.22274481568845012
TD3,0.059376115633143774,0.029733335185660972,0.0634188800933972
TD3,0.06579702044934858,0.11639141822668199,0.038990491184293694
PPO,0.13250267155103704,-0.014396659354731113,0.17131633740967372
TD3,-0.3927967963294393,-0.34285066854663154,-0.5336889641722968
PPO,0.012979804045884547,-0.2151554345365516,-0.15002326598293142
A2C,0.36743680420111846,-0.3057231642736742,0.11659816293920414
A2C,1.1235735464390795,0.7483267005497215,1.1640891153903534
TD3,-0.8079299214560546,-0.7569359709373935,-0.9818592226108831
PPO,-0.12611432291222097,-0.03819142411082893,-0.2276766516128872
PPO,0.7021063690688969,1.0216851532293283,0.610465363683787
PPO,-0.46462521188920747,-0.2841182668051113,-0.18159723987386922
TD3,0.18647843282084112,0.27416013505635556,0.14793359640264447
PPO,0.2859366332192738,0.5355793434385195,0.16176252701804786
PPO,0.08664546347375125,0.1582159100524408,0.3526005182167583
TD3,0.7515935359132498,0.03002230636872087,0.22403592435697114
A2C,-0.26255939971222103,0.05313304964971912,0.33461283966073985
TD3,0.8704724521763817,0.697465897688548,0.9147949780020779
TD3,0.8889656449402362,0.9493804023200361,0.8410852932025671
PPO,0.4902720665208458,0.47376789300699357,0.5049195312397146
TD3,0.1336488515408872,0.5873253394947872,0.3602282572116224
PPO,0.5994905591624234,-0.029906907972185377,0.4721498138207724
A2C,-0.4595454736394817,-0.45707097575844474,-0.45656946070107596
TD3,-0.07516348520422197,-0.2148021510800522,-0.11609999206554594
A2C,-0.27571518203672757,-0.3324043759456554,-0.3735227840028604
A2C,0.005110046822342776,-0.0005875904279215925,0.05174069534526302
TD3,-0.9686735317770426,-0.8861642173416654,-0.5768187105729096
TD3,0.5807958073526701,0.512240601058498,0.70256894891069
TD3,0.24140921461994663,0.37974850392156334,0.5952008735341623
TD3,0.03316276489100043,-0.28273633250819413,-0.7940279031919765
A2C,-0.8642683909520467,-0.7891746375008737,-0.4993014155731966
TD3,-0.5331051977338717,-0.479687749280408,-0.6098799583308322
PPO,-0.05221229110458282,0.1762815576091901,0.06504042932387219
PPO,0.08492186945242128,0.024592918126822023,0.23585617831201705
TD3,-0.5942882808893499,-0.07831096471319983,-0.5378550431044715
PPO,-0.13544228755298757,-0.15278051850393223,-0.27613661888822044
A2C,0.2450511506536536,0.24847153643561934,-0.4946329969444234
PPO,0.233677237662906,-0.5874088998180396,-0.622576855629043
A2C,0.5811428306566805,0.4963141471962841,0.5144047820444392
A2C,-0.4447421200725684,-0.02523172231766606,-0.20184265941116217
PPO,0.01939577487417577,0.00554436036702612,0.22762519427476668
TD3,0.19181733421585356,0.2717531512504363,0.2756739361218699
TD3,-0.5164375366543712,-0.515977675107534,-0.5117115877850592
TD3,0.09928452971982415,-0.4587446425986949,-0.5219240246182394
A2C,-0.4971938757098117,-0.5890189378956385,-0.4760316329192419
TD3,-0.4724558600192779,-0.051003470663208546,-0.04905733321652928
TD3,-0.594262246602661,-0.7599541783103824,-0.719566871114976
A2C,-0.4517588871722715,-0.45369308722361973,-0.4518917490278142
A2C,-0.5281112920679327,-0.5626934881507899,-0.5413896028530234
A2C,0.27854236853596004,0.21621412561093648,0.26897142548931235
A2C,0.0,0.0,0.0
